Contact,Description,Name,Social,Web_Address
,"We are Pink Lane Coffee, Newcastle-based speciality coffee roasters dedicated to sourcing, roasting and sharing with our customers only the best coffee possible. We select single origin coffee which is ethically and responsibly sourced from growers around the world. We source all of our coffee with each country’s season in mind, and the coffee we offer will likewise change in accordance with these seasons. By working closely with partner importers we are able to source the best seasonal coffees available. Consistency is of the utmost importance to us at Pink Lane Coffee, and by using the best technology available and measuring very precisely we are able to demonstrate consistency with our roast profiles. We roast, taste, adjust and repeat until we are confident that we have roasted the best-tasting coffee possible. We roast all of our coffee carefully and with the lightest possible touch, allowing the unique characteristics of each coffee to shine through.",Pink Lane Coffee,,https://www.pinklanecoffee.co.uk
,"We love good coffee. Buying direct from farmers all around the world, our coffee is some of the finest and freshly roasted in the UK, produced from our micro-roastery in Shropshire. Our scope is simple. Source the best coffee from small holds around the world, sample and develop the roast in response to the unique flavours and aromas.",Hundred House Coffee,,http://www.hundredhousecoffee.com
,Carringtons Coffee Co. roast single estate specialty coffee from Colombia and create a separate roast profile for brewing Cold Brew Coffee. We have a close relationship with a small coffee farm in Colombia and have a passionate interest in the journey of coffee from origin to the roastery. Coffee traceability is important to us as well as contributing to sustainability and ethical practices in the coffee industry. Buy Carringtons Coffee Co. for delicious single estate Colombian coffees and a Cold Brew Coffee developed from the ground up.,Carringtons Coffee Co.,,https://carringtonscoffee.co
,"Since 2012, Terrone has done more than follow the crowd. Tired of over-roasted, poorly-sourced Italian coffee, they decided to change the game. Today they are a roastery based in Tottenham Hale, North London, Sourcing the most delicious, fresh crops, and roasting a carefully curated selection of the world's best specialty coffees.",TERRONE Coffee UK,,http://www.terrone.co.uk
,Two Dogs Coffee Roasting Company take Premium Origin Beans from around the world and roast them appropriately to bring out the individual flavours. We also create our own Lighter Roast Blend (Jack) and Medium Dark Roast Blend (Gelert)by blending origin beans to our own recipes.,Two Dogs Coffee Roasting Company,,https://www.twodogscoffeecompany.com
,"Drip Coffee sell speciality coffee roasted specifically for you. Whilst ordering, choose the exact roast that you want for each and every bag of coffee you purchase. Any questions contact support@coffeedrip.co.uk. Visit www.coffeedrip.co.uk to purchase fresh roasted coffee!",Drip Coffee,,https://www.coffeedrip.co.uk
,"New Ground Coffee is a speciality coffee roaster based in Oxford. Sourcing high grade, ethically traded coffee, New Ground use the business as a vehicle to provide training and job opportunities for ex-offenders. The roastery is set in the heart of a busy suburb in a beautiful redeveloped warehouse and has an on-site cafe.",New Ground Coffee,,https://newgroundcoffee.com
,"Horsebox Coffee Co. is an independent coffee roastery based on a quiet working farm in South Oxfordshire. We carefully and ethically source, sustainably cultivated green coffee, from individual farms and cooperatives at origin. We roast in small batches using the latest technology to consistently and sustainably bring out each coffee’s unique character. We not only create our much enjoyed signature blends, but also present a wide selection of seasonal single estate coffees for those looking for a coffee adventure … We are keen to work with and supply other like minded businesses who share our approach and wish to join our wholesome coffee movement…",Horsebox Coffee Co,,https://horseboxcoffeeco.com
,"Coffee has been our passion for over 30 years, inspiring us to share what we know through Great Coffee and Passionate Service. As a family owned Coffee Roasters, our coffee is a product of extensive care passed down through three generations. We are dedicated to roasting only the highest quality coffees to extract the finest flavours and ensure all customers can enjoy a truly memorable experience. Our state-of-the-art roastery incorporates the very latest automation, guaranteeing consistency in every batch and bringing you the ultimate coffee experience, from seed to cup.",Bridge Coffee Roasters,,https://www.bridgecoffeeroasters.co.uk
,Adams & Russell suppliers of freshly roasted coffee available as beans or ground delivering anywhere in the UK.,Adams & Russell,,http://www.adamsandrussell.co.uk
